ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,weekly,weekly_lower,weekly_upper,yearly,yearly_lower,yearly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat
2005-09-18,1012.64703901804,839.7506091829869,1239.1068749281003,1012.64703901804,1012.64703901804,4.4859430322179845,4.4859430322179845,4.4859430322179845,0.8818539289051628,0.8818539289051628,0.8818539289051628,3.6040891033128215,3.6040891033128215,3.6040891033128215,0.0,0.0,0.0,1017.132982050258
2005-09-19,1012.7234587910472,1016.8543698728253,1333.5852571594448,1012.7234587910472,1012.7234587910472,158.14612899399168,158.14612899399168,158.14612899399168,155.53500557553926,155.53500557553926,155.53500557553926,2.611123418452439,2.611123418452439,2.611123418452439,0.0,0.0,0.0,1170.869587785039
2005-09-20,1012.7998785640543,1040.6411204025856,1431.3811245968427,1012.7998785640543,1012.7998785640543,196.77568181208687,196.77568181208687,196.77568181208687,195.1810126097512,195.1810126097512,195.1810126097512,1.5946692023356535,1.5946692023356535,1.5946692023356535,0.0,0.0,0.0,1209.5755603761413
2005-09-21,1012.8762983370614,919.8810603966141,1310.2810993236988,1012.8762983370614,1012.8762983370614,86.91065729647177,86.91065729647177,86.91065729647177,86.34063128752655,86.34063128752655,86.34063128752655,0.5700260089452243,0.5700260089452243,0.5700260089452243,0.0,0.0,0.0,1099.7869556335331
2005-09-22,1012.9527181100685,738.5637375898854,1079.3626574698326,1012.9527181100685,1012.9527181100685,-90.04897790291744,-90.04897790291744,-90.04897790291744,-89.60160136079746,-89.60160136079746,-89.60160136079746,-0.4473765421199747,-0.4473765421199747,-0.4473765421199747,0.0,0.0,0.0,922.903740207151
2005-09-23,1013.0291378830757,673.0598051845709,981.1050075921601,1013.0291378830757,1013.0291378830757,-194.58936767121548,-194.58936767121548,-194.58936767121548,-193.14699071881714,-193.14699071881714,-193.14699071881714,-1.4423769523983538,-1.4423769523983538,-1.4423769523983538,0.0,0.0,0.0,818.4397702118602
2005-09-24,1013.1055576560829,647.0985067422357,1048.5414419776414,1013.1055576560829,1013.1055576560829,-157.5903835229291,-157.5903835229291,-157.5903835229291,-155.1899113220031,-155.1899113220031,-155.1899113220031,-2.4004722009260067,-2.4004722009260067,-2.4004722009260067,0.0,0.0,0.0,855.5151741331538
2005-09-25,1013.18197742909,875.7393597104599,1214.6481108473358,1013.18197742909,1013.18197742909,-2.426335057033557,-2.426335057033557,-2.426335057033557,0.8818539290344041,0.8818539290344041,0.8818539290344041,-3.308188986067961,-3.308188986067961,-3.308188986067961,0.0,0.0,0.0,1010.7556423720564
2005-09-26,1013.2583972020971,983.0631115672055,1367.3730797612998,1013.2583972020971,1013.2583972020971,151.3815804593114,151.3815804593114,151.3815804593114,155.53500557562393,155.53500557562393,155.53500557562393,-4.153425116312525,-4.153425116312525,-4.153425116312525,0.0,0.0,0.0,1164.6399776614085
2005-09-27,1013.3348169751042,1032.919114625667,1417.9829558987105,1013.3348169751042,1013.3348169751042,190.2552614342706,190.2552614342706,190.2552614342706,195.18101260980876,195.18101260980876,195.18101260980876,-4.9257511755381564,-4.9257511755381564,-4.9257511755381564,0.0,0.0,0.0,1203.5900784093749
2005-09-28,1013.4112367481114,920.6935463811457,1259.7340466802304,1013.4112367481114,1013.4112367481114,80.72396754811797,80.72396754811797,80.72396754811797,86.34063128773951,86.34063128773951,86.34063128773951,-5.616663739621547,-5.616663739621547,-5.616663739621547,0.0,0.0,0.0,1094.1352042962294
2005-09-29,1013.4876565211185,773.8591299956307,1116.9284885627765,1013.4876565211185,1013.4876565211185,-95.82138418966971,-95.82138418966971,-95.82138418966971,-89.60160136091656,-89.60160136091656,-89.60160136091656,-6.219782828753162,-6.219782828753162,-6.219782828753162,0.0,0.0,0.0,917.6662723314488
2005-09-30,1013.5640762941257,669.8860246855186,984.5596531048117,1013.5640762941257,1013.5640762941257,-199.8779786213025,-199.8779786213025,-199.8779786213025,-193.14699071884405,-193.14699071884405,-193.14699071884405,-6.730987902458436,-6.730987902458436,-6.730987902458436,0.0,0.0,0.0,813.6860976728232
2005-10-01,1013.6404960671329,691.0194022051074,1013.219314983612,1013.6404960671329,1013.6404960671329,-162.33839981693362,-162.33839981693362,-162.33839981693362,-155.18991132192065,-155.18991132192065,-155.18991132192065,-7.148488495012992,-7.148488495012992,-7.148488495012992,0.0,0.0,0.0,851.3020962501993
2005-10-02,1013.7169158401399,806.4358430325864,1190.8678520062263,1013.7169158401399,1013.7169158401399,-6.590973566452801,-6.590973566452801,-6.590973566452801,0.8818539291693462,0.8818539291693462,0.8818539291693462,-7.472827495622148,-7.472827495622148,-7.472827495622148,0.0,0.0,0.0,1007.1259422736871
2005-10-03,1013.7933356131471,1022.3482582719743,1331.5425501385598,1013.7933356131471,1013.7933356131471,147.82818853074107,147.82818853074107,147.82818853074107,155.53500557547264,155.53500557547264,155.53500557547264,-7.706817044731571,-7.706817044731571,-7.706817044731571,0.0,0.0,0.0,1161.621524143888
2005-10-04,1013.8697553861542,1013.083614036156,1356.8697296823254,1013.8697553861542,1013.8697553861542,187.3256036217772,187.3256036217772,187.3256036217772,195.18101260977758,195.18101260977758,195.18101260977758,-7.8554089880003675,-7.8554089880003675,-7.8554089880003675,0.0,0.0,0.0,1201.1953590079315
2005-10-05,1013.9461751591615,939.9269893960593,1286.399015122023,1013.9461751591615,1013.9461751591615,78.41512754244988,78.41512754244988,78.41512754244988,86.34063128762038,86.34063128762038,86.34063128762038,-7.925503745170498,-7.925503745170498,-7.925503745170498,0.0,0.0,0.0,1092.3613027016113
2005-10-06,1014.0225949321687,762.1250125241946,1076.6574609266227,1014.0225949321687,1014.0225949321687,-97.5273046175588,-97.5273046175588,-97.5273046175588,-89.60160136103566,-89.60160136103566,-89.60160136103566,-7.9257032565231444,-7.9257032565231444,-7.9257032565231444,0.0,0.0,0.0,916.4952903146099
